rank_by_abs_component_1,matrix_index,action_key,node_type,name,synthetic,source,coproduct,is_original_recipe,component_1,absolute_share_1
22789,6541,__pr_graph_lp_or_to_or_and__: 23787:item-craft: intelligent-unit --> item: intelligent-unit,,,True,item-craft: intelligent-unit --> item: intelligent-unit,False,False,-1.0518827275540448e-36,7.9479928368896144e-37
22790,969,__pr_graph_lp_or_cost_row__: item: ammonium-mixture,,,True,node-cost:item: ammonium-mixture,False,False,-1.0515381913995169e-36,7.9453895325320993e-37
22791,17216,__pr_graph_lp_or_to_or_and__: 85236:entity-operate: phosphate-mine --> resource-category: phosphate__1__0:noncoproduct-route,,,True,entity-operate: phosphate-mine --> resource-category: phosphate__1__0,False,False,1.0514070781020236e-36,7.9443988445761128e-37
22792,1009,__pr_graph_lp_or_cost_row__: item: arqad-egg-4,,,True,node-cost:item: arqad-egg-4,False,False,1.051044508417695e-36,7.9416592794340775e-37
22793,10793,__pr_graph_lp_or_to_or_and__: 75223:fluid-temperature: pressured-air: 15 --> fluid: pressured-air:noncoproduct-route,,,True,fluid-temperature: pressured-air: 15 --> fluid: pressured-air,False,False,1.0507356535525862e-36,7.9393255817782252e-37
22794,35217,recipe: vawt-turbine-mk03-pyvoid,recipe,vawt-turbine-mk03-pyvoid,False,,True,True,-1.0505517887330696e-36,7.9379363049794016e-37
22795,12135,__pr_graph_lp_or_to_or_and__: 76932:fluid-temperature: uf6: 509 --> fluid: uf6:noncoproduct-route,,,True,fluid-temperature: uf6: 509 --> fluid: uf6,False,False,1.0505398306867363e-36,7.937845950357056e-37
22796,24312,item-launch: bone-caged-simik,item-launch,bone-caged-simik,False,,True,False,-1.050284732112993e-36,7.9359184335496195e-37
22797,5398,__pr_graph_lp_or_to_or_and__: 15058:fluid-create-temperature: neutron: 100 --> fluid-create: neutron,,,True,fluid-create-temperature: neutron: 100 --> fluid-create: neutron,False,False,1.0502709303243832e-36,7.9358141476685674e-37
22798,18841,entity-build: yaedols-culture-mk02,entity-build,yaedols-culture-mk02,False,,False,False,-1.0502137474213423e-36,7.9353820754500057e-37
22799,27101,recipe: active-provider-chest-pyvoid,recipe,active-provider-chest-pyvoid,False,,True,True,1.0501348328613193e-36,7.9347857995141426e-37
