rank_by_abs_component_1,matrix_index,action_key,node_type,name,synthetic,source,coproduct,is_original_recipe,component_1,absolute_share_1
25165,16775,__pr_graph_lp_or_to_or_and__: 8700:item: atomizer-mk01 --> entity-build-item: atomizer-mk01,,,True,item: atomizer-mk01 --> entity-build-item: atomizer-mk01,False,False,-2.9516794140375369e-36,2.5084451549034006e-36
25166,21570,item-deliver: microwave-receiver,item-deliver,microwave-receiver,False,,False,False,-2.951604462697928e-36,2.5083814585128638e-36
25167,501,__pr_graph_lp_or_cost_row__: entity: oil-derrick-mk02,,,True,node-cost:entity: oil-derrick-mk02,False,False,2.9505677629161372e-36,2.5075004331100526e-36
25168,5356,__pr_graph_lp_or_to_or_and__: 14894:item: charcoal-briquette --> fuel-category: biomass__0,,,True,item: charcoal-briquette --> fuel-category: biomass__0,False,False,2.9502621436228126e-36,2.5072407066533313e-36
25169,3234,__pr_graph_lp_or_cost_row__: item: steam-turbine-mk03,,,True,node-cost:item: steam-turbine-mk03,False,False,-2.9492736972280393e-36,2.5064006887441847e-36
25170,6640,__pr_graph_lp_or_to_or_and__: 26424:item-craft: guts-dhilmos --> item: guts-dhilmos,,,True,item-craft: guts-dhilmos --> item: guts-dhilmos,False,False,-2.9490234396962792e-36,2.5061880107378821e-36
25171,14671,__pr_graph_lp_or_to_or_and__: 78440:item-deliver: arqad-mk04 --> item: arqad-mk04:noncoproduct-route,,,True,item-deliver: arqad-mk04 --> item: arqad-mk04,False,False,2.948259296560149e-36,2.5055386139441914e-36
25172,21008,item-deliver: fawogae-plantation-mk02,item-deliver,fawogae-plantation-mk02,False,,False,False,2.9480026659467367e-36,2.505320519859938e-36
25173,9852,__pr_graph_lp_or_to_or_and__: 70416:entity-build: py-roboport-mk03 --> entity: py-roboport-mk03:noncoproduct-route,,,True,entity-build: py-roboport-mk03 --> entity: py-roboport-mk03,False,False,2.9470194738109068e-36,2.5044849672122716e-36
25174,21373,item-deliver: iron-gear-wheel,item-deliver,iron-gear-wheel,False,,False,False,-2.9456499307452146e-36,2.5033210794095419e-36
25175,13703,__pr_graph_lp_or_to_or_and__: 76624:item-deliver: pyridine --> item: pyridine:noncoproduct-route,,,True,item-deliver: pyridine --> item: pyridine,False,False,-2.9453487909895825e-36,2.5030651598278379e-36
25176,18477,entity-mine: py-coal-powerplant-mk03,entity-mine,py-coal-powerplant-mk03,False,,True,False,-2.944972086289858e-36,2.5027450223920585e-36
25177,32429,recipe: rich-clay-pyvoid,recipe,rich-clay-pyvoid,False,,True,True,-2.9449366233256959e-36,2.5027148846676811e-36
25178,14029,__pr_graph_lp_or_to_or_and__: 77244:item-deliver: heavy-water-barrel --> item: heavy-water-barrel:noncoproduct-route,,,True,item-deliver: heavy-water-barrel --> item: heavy-water-barrel,False,False,2.9446126178966634e-36,2.5024395330001681e-36
25179,11284,__pr_graph_lp_or_to_or_and__: 72318:fluid-temperature: nickel-carbonyl: 10 --> fluid: nickel-carbonyl:noncoproduct-route,,,True,fluid-temperature: nickel-carbonyl: 10 --> fluid: nickel-carbonyl,False,False,-2.942588403476296e-36,2.5007192815287148e-36
25180,13119,__pr_graph_lp_or_to_or_and__: 7551:item: glassworks-mk02 --> entity-build-item: glassworks-mk02,,,True,item: glassworks-mk02 --> entity-build-item: glassworks-mk02,False,False,-2.9424784980150929e-36,2.5006258798468311e-36
25181,2807,__pr_graph_lp_or_cost_row__: item: py-logistic-robot-mk01,,,True,node-cost:item: py-logistic-robot-mk01,False,False,2.9420350269189852e-36,2.500249001884719e-36
25182,3164,__pr_graph_lp_or_cost_row__: item: slacked-lime-barrel,,,True,node-cost:item: slacked-lime-barrel,False,False,2.9384652343421632e-36,2.4972152615500631e-36
25183,10136,__pr_graph_lp_or_to_or_and__: 70839:fluid-temperature: pregnant-solution: 10 --> fluid: pregnant-solution:noncoproduct-route,,,True,fluid-temperature: pregnant-solution: 10 --> fluid: pregnant-solution,False,False,2.9383565389491819e-36,2.4971228882284253e-36
