rank_by_abs_component_1,matrix_index,action_key,node_type,name,synthetic,source,coproduct,is_original_recipe,component_1,absolute_share_1
917,1356,__pr_graph_lp_or_to_or_and__: 15189:item: fine-powdered-biomass --> energy-source-burner: chemical__biomass__jerry_2_1,,,True,item: fine-powdered-biomass --> energy-source-burner: chemical__biomass__jerry_2_1,False,False,1.3631886630584193e-26,1.3631886603320415e-26
918,7075,recipe: liquid-manure-barrel,recipe,liquid-manure-barrel,False,,True,True,-1.359401184100782e-26,1.3594011813819792e-26
919,7974,recipe: vpulp3,recipe,vpulp3,False,,True,True,1.3547393341921113e-26,1.3547393314826321e-26
920,1606,__pr_graph_lp_or_to_or_and__: 15439:item: residual-mixture-canister --> energy-source-burner: chemical__jerry__biomass__nuke_2_1,,,True,item: residual-mixture-canister --> energy-source-burner: chemical__jerry__biomass__nuke_2_1,False,False,1.3497236976403878e-26,1.3497236949409399e-26
921,7430,recipe: primers,recipe,primers,False,,True,True,-1.329730203673746e-26,1.329730201014285e-26
922,1607,__pr_graph_lp_or_to_or_and__: 15440:item: hot-residual-mixture-canister --> energy-source-burner: chemical__jerry__biomass__nuke_2_1,,,True,item: hot-residual-mixture-canister --> energy-source-burner: chemical__jerry__biomass__nuke_2_1,False,False,1.3126960906283011e-26,1.3126960880029085e-26
923,7370,recipe: phosphine-gas-barrel,recipe,phosphine-gas-barrel,False,,True,True,1.3046501381864681e-26,1.3046501355771674e-26
924,6255,recipe: cobalt-fluoride,recipe,cobalt-fluoride,False,,True,True,1.302928884308379e-26,1.3029288817025206e-26
925,1342,__pr_graph_lp_or_to_or_and__: 15175:item: gunpowder --> energy-source-burner: chemical__biomass__jerry_2_1,,,True,item: gunpowder --> energy-source-burner: chemical__biomass__jerry_2_1,False,False,1.3024841459475845e-26,1.3024841433426158e-26
926,5803,recipe: acetic-acid-barrel,recipe,acetic-acid-barrel,False,,True,True,-1.301745258138763e-26,1.301745255535272e-26
927,7798,recipe: stone-brick-2,recipe,stone-brick-2,False,,True,True,-1.2908976966100201e-26,1.2908976940282243e-26
928,1602,__pr_graph_lp_or_to_or_and__: 15435:item: medium-distillate-canister --> energy-source-burner: chemical__jerry__biomass__nuke_2_1,,,True,item: medium-distillate-canister --> energy-source-burner: chemical__jerry__biomass__nuke_2_1,False,False,1.284454218346283e-26,1.2844542157773741e-26
929,6833,recipe: geo-he-00,recipe,geo-he-00,False,,True,True,1.2842453325758142e-26,1.2842453300073231e-26
930,1583,__pr_graph_lp_or_to_or_and__: 15416:item: kerosene-canister --> energy-source-burner: chemical__jerry__biomass__nuke_2_1,,,True,item: kerosene-canister --> energy-source-burner: chemical__jerry__biomass__nuke_2_1,False,False,1.2828228602940575e-26,1.2828228577284112e-26
931,6398,recipe: earth-mouse-sample,recipe,earth-mouse-sample,False,,True,True,1.275042746367155e-26,1.2750427438170689e-26
932,6958,recipe: hotair-molten-glass,recipe,hotair-molten-glass,False,,True,True,-1.2591612803966999e-26,1.2591612778783769e-26
933,1341,__pr_graph_lp_or_to_or_and__: 15174:item: coal-dust --> energy-source-burner: chemical__biomass__jerry_2_1,,,True,item: coal-dust --> energy-source-burner: chemical__biomass__jerry_2_1,False,False,1.2566816307804884e-26,1.2566816282671246e-26
934,7984,recipe: vrauks-food-01,recipe,vrauks-food-01,False,,True,True,-1.2533837524371873e-26,1.2533837499304194e-26
935,7375,recipe: phosphoric-acid2,recipe,phosphoric-acid2,False,,True,True,1.2465529409536185e-26,1.2465529384605121e-26
936,6959,recipe: hotair-nickel-plate-3,recipe,hotair-nickel-plate-3,False,,True,True,-1.2375609184891224e-26,1.237560916014e-26
937,1355,__pr_graph_lp_or_to_or_and__: 15188:item: powdered-biomass --> energy-source-burner: chemical__biomass__jerry_2_1,,,True,item: powdered-biomass --> energy-source-burner: chemical__biomass__jerry_2_1,False,False,1.2205286996743871e-26,1.2205286972333293e-26
