rank_by_abs_component_1,matrix_index,action_key,node_type,name,synthetic,source,coproduct,is_original_recipe,component_1,absolute_share_1
1,11248,item-burn: mox-fuel-cell,item-burn,mox-fuel-cell,False,,False,False,0.98058067569092011,0.83333333329861103
2,11272,item-burn: uranium-fuel-cell,item-burn,uranium-fuel-cell,False,,False,False,0.19611613513818407,0.16666666665972224
3,6138,__pr_graph_lp_or_to_or_and__: 37414:entity-operate: nuclear-reactor --> fuel-category-burn: nuclear:noncoproduct-route,,,True,entity-operate: nuclear-reactor --> fuel-category-burn: nuclear,False,False,-4.9029033784546013e-11,4.1666666664930555e-11
4,11210,item-burn: auog-mk02,item-burn,auog-mk02,False,,False,False,5.983933224407979e-17,5.0853653796701889e-17
5,11209,item-burn: auog,item-burn,auog,False,,False,False,2.9919666122039895e-17,2.5426826898350944e-17
6,10587,entity-operate: particle-accelerator-mk01,entity-operate,particle-accelerator-mk01,False,,False,False,2.589995983478908e-17,2.201073343222603e-17
7,11216,item-burn: charged-auog,item-burn,charged-auog,False,,False,False,2.2603899999625979e-17,1.92096211960984e-17
8,10800,entity-operate: uranium-mining-drill,entity-operate,uranium-mining-drill,False,,False,False,1.420353168698398e-17,1.2070680871807847e-17
9,10362,entity-operate: centrifuge-mk02,entity-operate,centrifuge-mk02,False,,False,False,1.294997991739454e-17,1.1005366716113015e-17
10,10361,entity-operate: centrifuge-mk01,entity-operate,centrifuge-mk01,False,,False,False,6.4749899586972699e-18,5.5026833580565075e-18
11,10415,entity-operate: eaf-mk02,entity-operate,eaf-mk02,False,,False,False,-5.3333441461133862e-18,4.5324709787674812e-18
12,10480,entity-operate: heat-exchanger,entity-operate,heat-exchanger,False,,False,False,-4.6786540799406062e-18,3.9760914083289374e-18
13,10414,entity-operate: eaf-mk01,entity-operate,eaf-mk01,False,,False,False,-2.6666720730566931e-18,2.2662354893837406e-18
14,11218,item-burn: coal-briquette,item-burn,coal-briquette,False,,False,False,2.3607620540604378e-18,2.0062619633503319e-18
15,10626,entity-operate: py-electric-boiler,entity-operate,py-electric-boiler,False,,False,False,-2.1602886880398617e-18,1.8358923624750062e-18
16,10689,entity-operate: rare-earth-mine,entity-operate,rare-earth-mine,False,,False,False,-1.2775563001148028e-18,1.0857140839545585e-18
17,10466,entity-operate: glassworks-mk02,entity-operate,glassworks-mk02,False,,False,False,7.0534448568307259e-19,5.9942754935886614e-19
18,10330,entity-operate: bio-printer-mk01,entity-operate,bio-printer-mk01,False,,False,False,-6.674125632068171e-19,5.6719161387779001e-19
19,10416,entity-operate: electric-furnace,entity-operate,electric-furnace,False,,False,False,-5.783231159481286e-19,4.9148014220973666e-19
20,10291,entity-operate: advanced-foundry-mk02,entity-operate,advanced-foundry-mk02,False,,False,False,-5.438218658138245e-19,4.6215971759793134e-19
21,11241,item-burn: kerosene-canister,item-burn,kerosene-canister,False,,False,False,-4.6628830175748296e-19,3.9626885825372987e-19
22,11247,item-burn: middle-oil-canister,item-burn,middle-oil-canister,False,,False,False,-4.6628830175748296e-19,3.9626885825372987e-19
23,10317,entity-operate: automated-factory-mk02,entity-operate,automated-factory-mk02,False,,False,False,-4.6547793524484777e-19,3.9558017914357706e-19
24,11228,item-burn: diesel-canister,item-burn,diesel-canister,False,,False,False,-4.4110851867412373e-19,3.748701573729411e-19
25,11232,item-burn: fuel-oil-canister,item-burn,fuel-oil-canister,False,,False,False,-4.4110851867412373e-19,3.748701573729411e-19
26,11252,item-burn: outlet-gas-01-canister,item-burn,outlet-gas-01-canister,False,,False,False,-4.4110851867412373e-19,3.748701573729411e-19
27,10731,entity-operate: smelter-mk01,entity-operate,smelter-mk01,False,,False,False,4.2702617793249883e-19,3.629024690003384e-19
28,11222,item-burn: coarse-coal,item-burn,coarse-coal,False,,False,False,3.5998539822566461e-19,3.059287616807752e-19
29,10732,entity-operate: smelter-mk02,entity-operate,smelter-mk02,False,,False,False,3.4216700932227701e-19,2.907860428948797e-19
30,10567,entity-operate: oil-boiler-mk01,entity-operate,oil-boiler-mk01,False,,False,False,2.8311079864192282e-19,2.4059791445397542e-19
31,10547,entity-operate: natural-gas-derrick-mk02,entity-operate,natural-gas-derrick-mk02,False,,False,False,-2.7352298385089447e-19,2.3244983866895374e-19
32,10485,entity-operate: hpf-mk02,entity-operate,hpf-mk02,False,,False,False,-2.5976285734303896e-19,2.2075597974059756e-19
33,11227,item-burn: crushed-coal,item-burn,crushed-coal,False,,False,False,2.3788293521891066e-19,2.0216162143023555e-19
34,11223,item-burn: coke,item-burn,coke,False,,False,False,2.3552715764806038e-19,2.0015959546307733e-19
35,10568,entity-operate: oil-derrick-mk01,entity-operate,oil-derrick-mk01,False,,False,False,-2.3273896762242389e-19,1.9779008957178853e-19
36,10541,entity-operate: moss-farm-mk02,entity-operate,moss-farm-mk02,False,,False,False,-2.3094273381734012e-19,1.962635843680026e-19
37,10525,entity-operate: mega-farm,entity-operate,mega-farm,False,,False,False,-2.2018826120135045e-19,1.87124040080495e-19
38,11207,item-burn: anthracene-oil-canister,item-burn,anthracene-oil-canister,False,,False,False,-2.0145912941189395e-19,1.7120733866997659e-19
39,10569,entity-operate: oil-derrick-mk02,entity-operate,oil-derrick-mk02,False,,False,False,2.0044553807668162e-19,1.7034595167050311e-19
40,10762,entity-operate: tar-extractor-mk02,entity-operate,tar-extractor-mk02,False,,False,False,-1.929476779841451e-19,1.6397399585042987e-19
41,10749,entity-operate: steel-furnace,entity-operate,steel-furnace,False,,False,False,1.7498965524097687e-19,1.4871261111890612e-19
42,11263,item-burn: refined-natural-gas-canister,item-burn,refined-natural-gas-canister,False,,False,False,-1.7361421803009297e-19,1.4754371425595174e-19
43,10722,entity-operate: seaweed-crop-mk02,entity-operate,seaweed-crop-mk02,False,,False,False,-1.7327495357493573e-19,1.4725539490977788e-19
44,10465,entity-operate: glassworks-mk01,entity-operate,glassworks-mk01,False,,False,False,1.7108350466113851e-19,1.4539302144743985e-19
45,11270,item-burn: tall-oil-canister,item-burn,tall-oil-canister,False,,False,False,-1.7094908973165117e-19,1.452787907227156e-19
46,10826,entity-operate: yotoi-aloe-orchard-mk02,entity-operate,yotoi-aloe-orchard-mk02,False,,False,False,-1.7040473066614089e-19,1.4481617447316187e-19
47,11239,item-burn: hot-syngas-canister,item-burn,hot-syngas-canister,False,,False,False,-1.6857826141342113e-19,1.4326397407979398e-19
48,11245,item-burn: methane-canister,item-burn,methane-canister,False,,False,False,-1.6857826141342113e-19,1.4326397407979398e-19
49,11246,item-burn: methanol-canister,item-burn,methanol-canister,False,,False,False,-1.6857826141342113e-19,1.4326397407979398e-19
