rank_by_abs_component_1,matrix_index,action_key,node_type,name,synthetic,source,coproduct,is_original_recipe,component_1,absolute_share_1
21178,20076,entity-build: py-tank-9000,entity-build,py-tank-9000,False,,False,False,1.062465970433016e-56,7.3524729441840102e-57
21179,14168,__pr_graph_lp_or_to_or_and__: 83389:item-deliver: high-grade-iron --> item: high-grade-iron:noncoproduct-route,,,True,item-deliver: high-grade-iron --> item: high-grade-iron,False,False,1.0597411922090441e-56,7.3336169443419736e-57
21180,13457,__pr_graph_lp_or_to_or_and__: 82049:item-deliver: cannon-shell --> item: cannon-shell:noncoproduct-route,,,True,item-deliver: cannon-shell --> item: cannon-shell,False,False,1.0597213305545069e-56,7.3334794977962238e-57
21181,23459,item-deliver: core-shell,item-deliver,core-shell,False,,False,False,1.0588134702155569e-56,7.327196926151594e-57
21182,25047,item-deliver: ralesia-mk02,item-deliver,ralesia-mk02,False,,False,False,1.0573964194150221e-56,7.3173906566225846e-57
21183,8791,__pr_graph_lp_or_to_or_and__: 36646:item-craft: yellow-refined-concrete --> item: yellow-refined-concrete,,,True,item-craft: yellow-refined-concrete --> item: yellow-refined-concrete,False,False,1.0568660186293424e-56,7.3137201791345438e-57
21184,9889,__pr_graph_lp_or_to_or_and__: 68934:item: numal-mk02 --> recipe-py-module: numal-egg-3-neutron,,,True,item: numal-mk02 --> recipe-py-module: numal-egg-3-neutron,False,False,1.0560434669867188e-56,7.3080279604038867e-57
21185,9891,__pr_graph_lp_or_to_or_and__: 68936:item: numal-mk04 --> recipe-py-module: numal-egg-3-neutron,,,True,item: numal-mk04 --> recipe-py-module: numal-egg-3-neutron,False,False,1.055041346656792e-56,7.3010930911302845e-57
21186,22564,fluid-temperature: pressured-steam: 2000,fluid-temperature,pressured-steam: 2000,False,,False,False,1.0548578142006568e-56,7.2998230105294321e-57
21187,25219,item-deliver: sb-chloride,item-deliver,sb-chloride,False,,False,False,1.0524426120243075e-56,7.2831093376678853e-57
21188,15528,__pr_graph_lp_or_to_or_and__: 85949:item-deliver: blood-caged-zungror --> item: blood-caged-zungror:noncoproduct-route,,,True,item-deliver: blood-caged-zungror --> item: blood-caged-zungror,False,False,1.0524006191858142e-56,7.2828187389875856e-57
21189,23804,item-deliver: fish-food-02,item-deliver,fish-food-02,False,,False,False,1.0514579786210624e-56,7.2762954813574106e-57
21190,24594,item-deliver: nitrogen-barrel,item-deliver,nitrogen-barrel,False,,False,False,1.0514193426894635e-56,7.2760281131313603e-57
21191,12134,__pr_graph_lp_or_to_or_and__: 80377:fluid-temperature: iron-pulp-05: 10 --> fluid: iron-pulp-05:noncoproduct-route,,,True,fluid-temperature: iron-pulp-05: 10 --> fluid: iron-pulp-05,False,False,1.0511116792669315e-56,7.273899021891704e-57
21192,22925,item-deliver: am-243,item-deliver,am-243,False,,False,False,1.0495338244100349e-56,7.2629799567470069e-57
21193,15736,__pr_graph_lp_or_to_or_and__: 86339:item-deliver: magnetic-ring --> item: magnetic-ring:noncoproduct-route,,,True,item-deliver: magnetic-ring --> item: magnetic-ring,False,False,1.046772354097347e-56,7.2438700404530016e-57
21194,25469,item-deliver: sulfuric-acid-barrel,item-deliver,sulfuric-acid-barrel,False,,False,False,1.0467244535967797e-56,7.2435385595922156e-57
21195,9208,__pr_graph_lp_or_to_or_and__: 53525:item: kmauts --> recipe-py-module: kmauts-cub-4,,,True,item: kmauts --> recipe-py-module: kmauts-cub-4,False,False,1.0458801830685298e-56,7.2376960419123332e-57
21196,23398,item-deliver: coarse-coal,item-deliver,coarse-coal,False,,False,False,1.0436022439359288e-56,7.2219322562410411e-57
21197,11538,__pr_graph_lp_or_to_or_and__: 79598:entity-build: py-tank-7000 --> entity: py-tank-7000:noncoproduct-route,,,True,entity-build: py-tank-7000 --> entity: py-tank-7000,False,False,1.0427733495729604e-56,7.216196144641318e-57
21198,16597,__pr_graph_lp_or_to_or_and__: 87969:item-deliver: ulric --> item: ulric:noncoproduct-route,,,True,item-deliver: ulric --> item: ulric,False,False,1.0412048866464954e-56,7.2053420734976656e-57
21199,10490,__pr_graph_lp_or_to_or_and__: 75778:item: coarse-coal --> energy-source-burner: chemical__biomass__nuke_2_1,,,True,item: coarse-coal --> energy-source-burner: chemical__biomass__nuke_2_1,False,False,1.0398936148299617e-56,7.1962678152890894e-57
21200,6265,__pr_graph_lp_or_to_or_and__: 16416:fluid-create-temperature: uf6: 242 --> fluid-create: uf6,,,True,fluid-create-temperature: uf6: 242 --> fluid-create: uf6,False,False,1.0392406094710326e-56,7.1917488901022649e-57
21201,19827,entity-build: jig-mk01,entity-build,jig-mk01,False,,False,False,1.0381640118935024e-56,7.184298623664707e-57
21202,15611,__pr_graph_lp_or_to_or_and__: 86101:item-deliver: impure-gd --> item: impure-gd:noncoproduct-route,,,True,item-deliver: impure-gd --> item: impure-gd,False,False,1.0378754506693347e-56,7.1823017233850971e-57
21203,19945,entity-build: ocula,entity-build,ocula,False,,False,False,1.0371741097930511e-56,7.1774483069359809e-57
21204,25695,item-deliver: vawt-turbine-mk01,item-deliver,vawt-turbine-mk01,False,,False,False,1.0370648824501429e-56,7.176692432295431e-57
21205,11491,__pr_graph_lp_or_to_or_and__: 79505:entity-build: rail-support --> entity: rail-support:noncoproduct-route,,,True,entity-build: rail-support --> entity: rail-support,False,False,1.0362494277411044e-56,7.1710493257374208e-57
21206,12759,__pr_graph_lp_or_to_or_and__: 81183:fluid-temperature: chloral: 10 --> fluid-temperature-range: chloral: 10: 10:noncoproduct-route,,,True,fluid-temperature: chloral: 10 --> fluid-temperature-range: chloral: 10: 10,False,False,1.0334985591702847e-56,7.1520127755769343e-57
